method,image_name,full_path,method_path,lpips_vs_full,ms_ssim_vs_full
tome,class_0644_seed0_a_photo_of_a_matchstick.png,generated/tome/class_0644_seed0_a_photo_of_a_matchstick.png,generated/tome/class_0644_seed0_a_photo_of_a_matchstick.png,0.7125747799873352,0.445194810628891
tome,class_0644_seed1_a_photo_of_a_matchstick.png,generated/tome/class_0644_seed1_a_photo_of_a_matchstick.png,generated/tome/class_0644_seed1_a_photo_of_a_matchstick.png,0.5050369501113892,0.549963653087616
tome,class_0645_seed0_a_photo_of_a_maypole.png,generated/tome/class_0645_seed0_a_photo_of_a_maypole.png,generated/tome/class_0645_seed0_a_photo_of_a_maypole.png,0.5732405185699463,0.5385205149650574
tome,class_0645_seed1_a_photo_of_a_maypole.png,generated/tome/class_0645_seed1_a_photo_of_a_maypole.png,generated/tome/class_0645_seed1_a_photo_of_a_maypole.png,0.26179155707359314,0.7522947192192078
tome,class_0646_seed0_a_photo_of_a_maze.png,generated/tome/class_0646_seed0_a_photo_of_a_maze.png,generated/tome/class_0646_seed0_a_photo_of_a_maze.png,0.5320969223976135,0.34349486231803894
tome,class_0646_seed1_a_photo_of_a_maze.png,generated/tome/class_0646_seed1_a_photo_of_a_maze.png,generated/tome/class_0646_seed1_a_photo_of_a_maze.png,0.4170982241630554,0.3372136056423187
tome,class_0647_seed0_a_photo_of_a_measuring_cup.png,generated/tome/class_0647_seed0_a_photo_of_a_measuring_cup.png,generated/tome/class_0647_seed0_a_photo_of_a_measuring_cup.png,0.31284230947494507,0.7401360869407654
tome,class_0647_seed1_a_photo_of_a_measuring_cup.png,generated/tome/class_0647_seed1_a_photo_of_a_measuring_cup.png,generated/tome/class_0647_seed1_a_photo_of_a_measuring_cup.png,0.3946153521537781,0.5888220071792603
tome,class_0648_seed0_a_photo_of_a_medicine_chest.png,generated/tome/class_0648_seed0_a_photo_of_a_medicine_chest.png,generated/tome/class_0648_seed0_a_photo_of_a_medicine_chest.png,0.41246289014816284,0.594944179058075
tome,class_0648_seed1_a_photo_of_a_medicine_chest.png,generated/tome/class_0648_seed1_a_photo_of_a_medicine_chest.png,generated/tome/class_0648_seed1_a_photo_of_a_medicine_chest.png,0.5650555491447449,0.37407630681991577
tome,class_0649_seed0_a_photo_of_a_megalith.png,generated/tome/class_0649_seed0_a_photo_of_a_megalith.png,generated/tome/class_0649_seed0_a_photo_of_a_megalith.png,0.13286004960536957,0.9160723090171814
tome,class_0649_seed1_a_photo_of_a_megalith.png,generated/tome/class_0649_seed1_a_photo_of_a_megalith.png,generated/tome/class_0649_seed1_a_photo_of_a_megalith.png,0.16010063886642456,0.8795212507247925
